(-1, 0)
(-2, 1)
(-3, 2)
(-3, 1)
(-3, 0)
(-4, -1)
(-5, 0)
(-6, 1)
(-6, 2)
(-7, 3)
(-5, 1)
(-6, 0)
(-7, 0)
(-6, -1)
(-7, 1)
(-5, 3)
(-4, 3)
(-2, 2)
(-1, 1)
(-2, -1)
(-1, -2)
(-1, -3)
(0, -4)
(0, -1)
(1, -1)
(2, -1)
(3, 0)
(4, -1)
(4, -2)
(3, -3)
(2, -4)
(3, -5)
(4, -4)
(5, -4)
(6, -4)
(7, -5)
(6, -6)
(5, -7)
(4, -7)
(8, -4)
(7, -3)
(6, -3)
(7, -4)
(7, -6)
(8, -7)
(9, -6)
(10, -5)
(10, -4)
(10, -3)
(11, -2)
(12, -2)
(13, -2)
(14, -1)
(14, 0)
(13, -1)
(12, 0)
(12, 1)
(11, 2)
(10, 3)
(9, 2)
(9, 1)
(8, 0)
(7, 0)
(6, -1)
(6, -2)
(5, -3)
(5, -2)
(3, -2)
(1, 0)
(-1, -1)
(0, -3)
(1, -2)
(-2, 0)
(-4, 1)
(-8, 4)
(-9, 5)
(-7, 4)
(-6, 3)
(-8, 1)
(-7, 2)
(-5, 2)
(-4, 2)
(-3, 3)
(-2, 3)
(-1, 3)
(0, 4)
(0, 5)
(1, 6)
(-1, 6)
(-2, 7)
(-3, 7)
(-4, 8)
(-5, 7)
(-5, 8)
(-6, 9)
(-7, 9)
(-8, 8)
(-8, 7)
(-8, 6)
(-8, 9)
(-7, 10)
(-6, 10)
(-5, 10)
(-6, 11)
(-5, 12)
(-4, 12)
(-3, 12)
(-4, 11)
(-4, 10)
(-4, 9)
(-4, 7)
(-3, 6)
(-2, 6)
(-4, 5)
(-4, 4)
(-5, 4)
(-5, 6)
(-6, 6)
(-7, 6)
(-8, 5)
(-6, 5)
(-9, 6)
(-10, 6)
(-11, 5)
(-11, 4)
(-11, 3)
(-10, 4)
(-9, 3)
(-9, 2)
(-9, 1)
(-8, 0)
(-3, 4)
(-3, 5)
(-3, 8)
(-3, 9)
(-2, 10)
(-1, 10)
(0, 10)
(-1, 11)
(-1, 12)
(-1, 13)
(0, 12)
(1, 13)
(1, 14)
(2, 15)
(3, 15)
(1, 15)
(0, 16)
(-1, 16)
(-2, 17)
(-1, 18)
(0, 18)
(1, 18)
(2, 19)
(2, 20)
(1, 19)
(0, 19)
(-1, 20)
(-1, 21)
(-1, 19)
(2, 18)
(2, 17)
(2, 16)
(0, 14)
(-1, 15)
(-1, 17)
(-2, 18)
(-3, 19)
(-3, 20)
(-2, 21)
(-2, 20)
(-2, 19)
(0, 20)
(0, 21)
(-1, 22)
(-1, 23)
(-2, 22)
(-2, 23)
(-2, 24)
(-2, 25)
(-3, 26)
(-4, 26)
(-5, 26)
(-2, 27)
(-3, 28)
(-4, 28)
(-5, 28)
(-6, 27)
(-6, 26)
(-6, 25)
(-6, 24)
(-5, 23)
(-4, 23)
(-3, 24)
(-1, 25)
(0, 26)
(0, 27)
(1, 28)
(2, 28)
(3, 28)
(4, 29)
(4, 30)
(3, 31)
(2, 31)
(1, 31)
(0, 31)
(-1, 32)
(-1, 33)
(-1, 31)
(-2, 30)
(-3, 30)
(-4, 30)
(-5, 31)
(-5, 32)
(-5, 33)
(-6, 34)
(-7, 34)
(-8, 34)
(-9, 34)
(-10, 33)
